Date Occurred,Consensual,Disturbance,Property,Violent,White Collar
01/01/2015,12.0,48.0,833.0,381.0,25.0
01/01/2016,8.0,44.0,707.0,375.0,28.0
01/01/2017,8.0,33.0,610.0,324.0,24.0
01/02/2015,3.0,14.0,347.0,122.0,26.0
01/02/2016,4.0,9.0,365.0,137.0,13.0
01/02/2017,1.0,18.0,361.0,127.0,13.0
01/03/2015,2.0,15.0,319.0,139.0,14.0
01/03/2016,1.0,9.0,316.0,167.0,8.0
01/03/2017,3.0,13.0,413.0,134.0,21.0
01/04/2015,5.0,11.0,325.0,151.0,14.0
01/04/2016,2.0,15.0,387.0,133.0,22.0
01/04/2017,4.0,14.0,383.0,118.0,17.0
01/05/2015,5.0,21.0,432.0,141.0,21.0
01/05/2016,1.0,16.0,428.0,147.0,20.0
01/05/2017,3.0,17.0,424.0,131.0,21.0
01/06/2015,3.0,9.0,324.0,148.0,18.0
01/06/2016,2.0,10.0,356.0,110.0,17.0
01/06/2017,5.0,18.0,461.0,164.0,15.0
01/07/2015,4.0,20.0,342.0,125.0,23.0
01/07/2016,10.0,16.0,376.0,139.0,14.0
01/07/2017,7.0,13.0,377.0,182.0,8.0
01/08/2015,5.0,16.0,376.0,118.0,24.0
01/08/2016,7.0,18.0,416.0,136.0,15.0
01/08/2017,1.0,20.0,362.0,176.0,12.0
01/09/2015,8.0,12.0,425.0,156.0,15.0
01/09/2016,4.0,9.0,386.0,142.0,11.0
01/09/2017,3.0,18.0,412.0,144.0,19.0
01/10/2015,2.0,17.0,411.0,162.0,11.0
01/10/2016,7.0,15.0,346.0,140.0,5.0
01/10/2017,7.0,9.0,448.0,125.0,19.0
01/11/2015,3.0,10.0,319.0,160.0,11.0
01/11/2016,6.0,29.0,383.0,158.0,26.0
01/11/2017,2.0,17.0,416.0,162.0,10.0
01/12/2015,5.0,15.0,363.0,119.0,15.0
01/12/2016,6.0,11.0,355.0,126.0,12.0
01/12/2017,7.0,15.0,413.0,129.0,17.0
01/13/2015,6.0,20.0,328.0,127.0,15.0
01/13/2016,6.0,21.0,378.0,138.0,12.0
01/13/2017,3.0,14.0,436.0,128.0,19.0
01/14/2015,2.0,21.0,382.0,148.0,11.0
01/14/2016,4.0,22.0,402.0,127.0,19.0
01/14/2017,3.0,16.0,434.0,168.0,10.0
01/15/2015,8.0,25.0,454.0,122.0,16.0
01/15/2016,7.0,29.0,498.0,157.0,22.0
01/15/2017,9.0,21.0,412.0,178.0,9.0
01/16/2015,5.0,18.0,403.0,132.0,15.0
01/16/2016,2.0,15.0,416.0,171.0,19.0
01/16/2017,5.0,18.0,443.0,145.0,14.0
01/17/2015,3.0,14.0,368.0,167.0,10.0
01/17/2016,3.0,11.0,381.0,182.0,7.0
01/17/2017,7.0,6.0,422.0,174.0,24.0
01/18/2015,4.0,10.0,348.0,136.0,7.0
01/18/2016,5.0,25.0,399.0,142.0,10.0
01/18/2017,3.0,18.0,400.0,149.0,16.0
01/19/2015,5.0,16.0,312.0,141.0,8.0
01/19/2016,4.0,11.0,404.0,123.0,21.0
01/19/2017,5.0,15.0,419.0,134.0,17.0
01/20/2015,3.0,17.0,438.0,122.0,14.0
01/20/2016,9.0,18.0,405.0,157.0,22.0
01/20/2017,2.0,14.0,463.0,127.0,17.0
01/21/2015,3.0,23.0,393.0,129.0,10.0
01/21/2016,3.0,13.0,449.0,172.0,24.0
01/21/2017,,15.0,415.0,168.0,5.0
01/22/2015,6.0,15.0,364.0,157.0,21.0
01/22/2016,8.0,21.0,456.0,160.0,16.0
01/22/2017,7.0,25.0,356.0,167.0,6.0
01/23/2015,13.0,17.0,411.0,129.0,8.0
01/23/2016,6.0,17.0,400.0,167.0,9.0
01/23/2017,4.0,24.0,381.0,146.0,14.0
01/24/2015,7.0,15.0,356.0,171.0,17.0
01/24/2016,3.0,20.0,378.0,160.0,7.0
01/24/2017,5.0,24.0,379.0,152.0,22.0
01/25/2015,6.0,18.0,352.0,158.0,6.0
01/25/2016,4.0,19.0,428.0,146.0,21.0
01/25/2017,5.0,18.0,416.0,146.0,25.0
01/26/2015,2.0,14.0,431.0,170.0,21.0
01/26/2016,4.0,15.0,402.0,140.0,23.0
01/26/2017,5.0,15.0,406.0,134.0,19.0
01/27/2015,3.0,28.0,377.0,141.0,21.0
01/27/2016,6.0,12.0,369.0,135.0,19.0
01/27/2017,9.0,13.0,436.0,135.0,22.0
01/28/2015,6.0,18.0,358.0,137.0,9.0
01/28/2016,3.0,22.0,404.0,135.0,19.0
01/28/2017,4.0,18.0,410.0,201.0,8.0
01/29/2015,8.0,16.0,370.0,150.0,14.0
01/29/2016,5.0,20.0,439.0,179.0,22.0
01/29/2017,10.0,15.0,398.0,170.0,10.0
01/30/2015,5.0,18.0,415.0,154.0,16.0
01/30/2016,7.0,12.0,392.0,143.0,6.0
01/30/2017,3.0,22.0,452.0,162.0,19.0
01/31/2015,3.0,23.0,349.0,178.0,12.0
01/31/2016,8.0,11.0,352.0,153.0,8.0
01/31/2017,3.0,24.0,421.0,159.0,17.0
02/01/2015,5.0,34.0,464.0,226.0,16.0
02/01/2016,7.0,48.0,578.0,182.0,33.0
02/01/2017,4.0,33.0,536.0,192.0,29.0
02/02/2015,3.0,24.0,392.0,140.0,25.0
02/02/2016,5.0,19.0,416.0,131.0,19.0
02/02/2017,2.0,26.0,378.0,145.0,17.0
02/03/2015,6.0,16.0,367.0,106.0,23.0
02/03/2016,6.0,20.0,419.0,140.0,16.0
02/03/2017,1.0,17.0,390.0,153.0,15.0
02/04/2015,1.0,20.0,369.0,147.0,19.0
02/04/2016,4.0,13.0,383.0,125.0,21.0
02/04/2017,11.0,13.0,413.0,174.0,9.0
02/05/2015,4.0,17.0,361.0,138.0,14.0
02/05/2016,6.0,18.0,416.0,182.0,25.0
02/05/2017,8.0,17.0,390.0,181.0,10.0
02/06/2015,7.0,29.0,369.0,159.0,16.0
02/06/2016,8.0,18.0,343.0,167.0,16.0
02/06/2017,1.0,18.0,377.0,161.0,23.0
02/07/2015,6.0,23.0,368.0,137.0,11.0
02/07/2016,4.0,18.0,364.0,209.0,10.0
02/07/2017,3.0,22.0,427.0,148.0,22.0
02/08/2015,8.0,14.0,292.0,192.0,12.0
02/08/2016,6.0,21.0,347.0,172.0,20.0
02/08/2017,7.0,38.0,346.0,149.0,16.0
02/09/2015,11.0,20.0,374.0,145.0,15.0
02/09/2016,3.0,22.0,379.0,169.0,20.0
02/09/2017,6.0,10.0,379.0,152.0,18.0
02/10/2015,5.0,23.0,355.0,126.0,12.0
02/10/2016,3.0,17.0,376.0,169.0,16.0
02/10/2017,4.0,16.0,479.0,164.0,21.0
02/11/2015,3.0,28.0,374.0,123.0,13.0
02/11/2016,9.0,13.0,390.0,132.0,12.0
02/11/2017,6.0,13.0,406.0,186.0,11.0
02/12/2015,4.0,21.0,413.0,154.0,15.0
02/12/2016,3.0,24.0,356.0,175.0,15.0
02/12/2017,5.0,12.0,376.0,200.0,4.0
02/13/2015,10.0,19.0,432.0,154.0,16.0
02/13/2016,7.0,12.0,357.0,169.0,8.0
02/13/2017,4.0,19.0,362.0,166.0,14.0
02/14/2015,7.0,26.0,357.0,177.0,6.0
02/14/2016,4.0,16.0,286.0,213.0,6.0
02/14/2017,3.0,12.0,383.0,164.0,17.0
02/15/2015,4.0,20.0,390.0,168.0,12.0
02/15/2016,8.0,17.0,345.0,173.0,10.0
02/15/2017,7.0,18.0,443.0,154.0,19.0
02/16/2015,3.0,14.0,385.0,155.0,8.0
02/16/2016,4.0,25.0,368.0,165.0,19.0
02/16/2017,,21.0,396.0,142.0,17.0
02/17/2015,1.0,15.0,369.0,116.0,13.0
02/17/2016,3.0,14.0,397.0,144.0,18.0
02/17/2017,5.0,18.0,438.0,131.0,19.0
02/18/2015,5.0,21.0,383.0,136.0,15.0
02/18/2016,4.0,15.0,383.0,156.0,17.0
02/18/2017,1.0,19.0,430.0,182.0,14.0
02/19/2015,4.0,15.0,378.0,164.0,19.0
02/19/2016,5.0,19.0,409.0,175.0,13.0
02/19/2017,5.0,16.0,373.0,187.0,12.0
02/20/2015,5.0,13.0,429.0,144.0,13.0
02/20/2016,4.0,20.0,384.0,181.0,11.0
02/20/2017,5.0,20.0,378.0,151.0,12.0
02/21/2015,6.0,20.0,363.0,149.0,11.0
02/21/2016,3.0,17.0,359.0,202.0,10.0
02/21/2017,8.0,20.0,442.0,159.0,13.0
02/22/2015,7.0,15.0,328.0,164.0,7.0
02/22/2016,5.0,18.0,359.0,160.0,19.0
02/22/2017,8.0,20.0,403.0,149.0,12.0
02/23/2015,4.0,18.0,351.0,147.0,13.0
02/23/2016,3.0,19.0,359.0,150.0,14.0
02/23/2017,12.0,19.0,349.0,131.0,22.0
02/24/2015,5.0,26.0,343.0,135.0,16.0
02/24/2016,4.0,11.0,389.0,165.0,18.0
02/24/2017,7.0,11.0,413.0,167.0,21.0
02/25/2015,5.0,17.0,376.0,120.0,24.0
02/25/2016,3.0,14.0,355.0,145.0,19.0
02/25/2017,1.0,21.0,384.0,158.0,15.0
02/26/2015,14.0,17.0,370.0,142.0,17.0
02/26/2016,3.0,17.0,402.0,190.0,26.0
02/26/2017,5.0,15.0,340.0,165.0,11.0
02/27/2015,6.0,26.0,396.0,151.0,18.0
02/27/2016,6.0,10.0,364.0,223.0,19.0
02/27/2017,4.0,16.0,424.0,151.0,15.0
02/28/2015,3.0,13.0,338.0,156.0,16.0
02/28/2016,,23.0,342.0,220.0,9.0
02/28/2017,4.0,16.0,389.0,142.0,14.0
02/29/2016,2.0,19.0,360.0,156.0,20.0
03/01/2015,7.0,36.0,508.0,225.0,24.0
03/01/2016,8.0,30.0,513.0,206.0,34.0
03/01/2017,7.0,34.0,500.0,220.0,35.0
03/02/2015,6.0,6.0,416.0,138.0,19.0
03/02/2016,4.0,17.0,366.0,144.0,15.0
03/02/2017,6.0,22.0,400.0,138.0,27.0
03/03/2015,,11.0,385.0,141.0,15.0
03/03/2016,6.0,15.0,368.0,128.0,17.0
03/03/2017,6.0,20.0,431.0,175.0,15.0
03/04/2015,3.0,20.0,334.0,138.0,14.0
03/04/2016,5.0,9.0,400.0,152.0,16.0
03/04/2017,5.0,14.0,402.0,166.0,14.0
03/05/2015,4.0,21.0,355.0,138.0,14.0
03/05/2016,5.0,11.0,395.0,172.0,8.0
03/05/2017,3.0,21.0,354.0,173.0,9.0
03/06/2015,10.0,17.0,413.0,150.0,15.0
03/06/2016,5.0,23.0,345.0,176.0,7.0
03/06/2017,8.0,18.0,391.0,131.0,13.0
03/07/2015,7.0,23.0,363.0,179.0,10.0
03/07/2016,2.0,12.0,387.0,142.0,17.0
03/07/2017,5.0,17.0,374.0,167.0,12.0
03/08/2015,6.0,16.0,292.0,156.0,5.0
03/08/2016,7.0,16.0,389.0,146.0,26.0
03/08/2017,6.0,19.0,374.0,152.0,22.0
03/09/2015,10.0,19.0,363.0,150.0,17.0
03/09/2016,7.0,10.0,368.0,155.0,17.0
03/09/2017,7.0,20.0,386.0,171.0,13.0
03/10/2015,5.0,19.0,368.0,160.0,14.0
03/10/2016,11.0,16.0,401.0,147.0,15.0
03/10/2017,8.0,17.0,439.0,183.0,20.0
03/11/2015,2.0,14.0,368.0,169.0,22.0
03/11/2016,5.0,18.0,376.0,128.0,19.0
03/11/2017,3.0,18.0,367.0,195.0,7.0
03/12/2015,3.0,22.0,349.0,147.0,20.0
03/12/2016,9.0,23.0,347.0,179.0,18.0
03/12/2017,8.0,9.0,289.0,195.0,9.0
03/13/2015,5.0,18.0,369.0,169.0,11.0
03/13/2016,6.0,12.0,319.0,218.0,6.0
03/13/2017,5.0,19.0,410.0,173.0,20.0
03/14/2015,5.0,14.0,389.0,197.0,14.0
03/14/2016,7.0,23.0,359.0,186.0,24.0
03/14/2017,5.0,22.0,390.0,198.0,11.0
03/15/2015,10.0,15.0,381.0,191.0,9.0
03/15/2016,6.0,18.0,384.0,161.0,20.0
03/15/2017,4.0,19.0,412.0,189.0,20.0
03/16/2015,2.0,26.0,377.0,171.0,10.0
03/16/2016,3.0,15.0,401.0,175.0,8.0
03/16/2017,8.0,21.0,400.0,175.0,10.0
03/17/2015,4.0,20.0,375.0,148.0,17.0
03/17/2016,8.0,26.0,336.0,177.0,22.0
03/17/2017,9.0,22.0,451.0,178.0,20.0
03/18/2015,4.0,21.0,322.0,150.0,14.0
03/18/2016,4.0,11.0,395.0,167.0,14.0
03/18/2017,3.0,19.0,412.0,222.0,12.0
03/19/2015,9.0,28.0,338.0,143.0,12.0
03/19/2016,4.0,17.0,380.0,168.0,10.0
03/19/2017,2.0,12.0,350.0,176.0,4.0
03/20/2015,2.0,23.0,433.0,167.0,14.0
03/20/2016,7.0,16.0,354.0,166.0,5.0
03/20/2017,4.0,18.0,371.0,162.0,24.0
03/21/2015,5.0,16.0,335.0,188.0,12.0
03/21/2016,4.0,19.0,358.0,152.0,29.0
03/21/2017,5.0,23.0,387.0,147.0,14.0
03/22/2015,1.0,11.0,347.0,198.0,6.0
03/22/2016,4.0,19.0,373.0,159.0,16.0
03/22/2017,6.0,16.0,393.0,152.0,16.0
03/23/2015,10.0,11.0,377.0,151.0,12.0
03/23/2016,7.0,11.0,409.0,146.0,17.0
03/23/2017,7.0,17.0,404.0,190.0,21.0
03/24/2015,1.0,17.0,371.0,173.0,11.0
03/24/2016,8.0,13.0,395.0,167.0,26.0
03/24/2017,4.0,16.0,430.0,156.0,19.0
03/25/2015,6.0,22.0,369.0,165.0,13.0
03/25/2016,11.0,16.0,451.0,156.0,18.0
03/25/2017,10.0,14.0,434.0,192.0,18.0
03/26/2015,5.0,16.0,378.0,169.0,13.0
03/26/2016,2.0,18.0,348.0,193.0,10.0
03/26/2017,1.0,20.0,361.0,190.0,6.0
03/27/2015,7.0,23.0,411.0,171.0,16.0
03/27/2016,2.0,9.0,325.0,190.0,6.0
03/27/2017,9.0,18.0,433.0,157.0,15.0
03/28/2015,4.0,9.0,354.0,215.0,13.0
03/28/2016,3.0,11.0,390.0,144.0,19.0
03/28/2017,1.0,18.0,397.0,149.0,17.0
03/29/2015,1.0,9.0,313.0,169.0,7.0
03/29/2016,2.0,19.0,400.0,137.0,25.0
03/29/2017,6.0,18.0,440.0,175.0,17.0
03/30/2015,7.0,18.0,380.0,136.0,17.0
03/30/2016,6.0,17.0,365.0,169.0,18.0
03/30/2017,5.0,22.0,402.0,147.0,17.0
03/31/2015,6.0,22.0,380.0,158.0,11.0
03/31/2016,4.0,10.0,354.0,161.0,34.0
03/31/2017,1.0,15.0,446.0,183.0,23.0
04/01/2015,5.0,34.0,530.0,172.0,31.0
04/01/2016,10.0,32.0,566.0,207.0,36.0
04/01/2017,6.0,33.0,479.0,207.0,24.0
04/02/2015,9.0,15.0,353.0,136.0,13.0
04/02/2016,5.0,20.0,342.0,210.0,19.0
04/02/2017,5.0,18.0,367.0,182.0,11.0
04/03/2015,6.0,14.0,406.0,177.0,23.0
04/03/2016,6.0,14.0,351.0,205.0,11.0
04/03/2017,7.0,15.0,408.0,160.0,22.0
04/04/2015,6.0,15.0,314.0,176.0,11.0
04/04/2016,4.0,24.0,405.0,153.0,23.0
04/04/2017,5.0,22.0,398.0,177.0,23.0
04/05/2015,5.0,11.0,279.0,191.0,14.0
04/05/2016,7.0,21.0,366.0,178.0,17.0
04/05/2017,7.0,12.0,363.0,197.0,18.0
04/06/2015,5.0,22.0,324.0,157.0,10.0
04/06/2016,7.0,13.0,370.0,175.0,16.0
04/06/2017,2.0,16.0,398.0,164.0,18.0
04/07/2015,4.0,20.0,336.0,132.0,16.0
04/07/2016,4.0,14.0,400.0,157.0,21.0
04/07/2017,3.0,21.0,419.0,155.0,18.0
04/08/2015,4.0,22.0,316.0,127.0,20.0
04/08/2016,5.0,23.0,434.0,171.0,24.0
04/08/2017,2.0,22.0,387.0,160.0,10.0
04/09/2015,1.0,12.0,351.0,150.0,17.0
04/09/2016,6.0,12.0,372.0,161.0,11.0
04/09/2017,4.0,11.0,353.0,186.0,11.0
04/10/2015,6.0,22.0,396.0,145.0,15.0
04/10/2016,6.0,22.0,355.0,220.0,12.0
04/10/2017,3.0,18.0,421.0,167.0,22.0
04/11/2015,7.0,8.0,339.0,181.0,10.0
04/11/2016,1.0,22.0,375.0,189.0,22.0
04/11/2017,3.0,20.0,353.0,137.0,12.0
04/12/2015,4.0,17.0,319.0,171.0,4.0
04/12/2016,1.0,16.0,371.0,181.0,30.0
04/12/2017,6.0,22.0,348.0,152.0,20.0
04/13/2015,3.0,27.0,374.0,163.0,15.0
04/13/2016,2.0,18.0,372.0,160.0,23.0
04/13/2017,7.0,14.0,396.0,156.0,22.0
04/14/2015,6.0,22.0,365.0,139.0,22.0
04/14/2016,1.0,14.0,408.0,156.0,29.0
04/14/2017,6.0,12.0,405.0,129.0,16.0
04/15/2015,4.0,26.0,424.0,179.0,17.0
04/15/2016,10.0,22.0,466.0,214.0,16.0
04/15/2017,6.0,13.0,377.0,190.0,16.0
04/16/2015,7.0,12.0,374.0,163.0,11.0
04/16/2016,3.0,12.0,401.0,211.0,14.0
04/16/2017,4.0,17.0,369.0,183.0,10.0
04/17/2015,7.0,19.0,400.0,148.0,16.0
04/17/2016,5.0,22.0,376.0,224.0,13.0
04/17/2017,9.0,33.0,396.0,185.0,21.0
04/18/2015,10.0,14.0,337.0,195.0,18.0
04/18/2016,6.0,26.0,378.0,179.0,22.0
04/18/2017,5.0,26.0,411.0,173.0,18.0
04/19/2015,3.0,14.0,322.0,184.0,7.0
04/19/2016,4.0,14.0,380.0,177.0,16.0
04/19/2017,4.0,14.0,379.0,179.0,19.0
04/20/2015,3.0,23.0,361.0,157.0,18.0
04/20/2016,12.0,25.0,379.0,183.0,18.0
04/20/2017,6.0,22.0,390.0,146.0,13.0
04/21/2015,1.0,14.0,360.0,135.0,16.0
04/21/2016,3.0,17.0,363.0,146.0,25.0
04/21/2017,6.0,13.0,445.0,164.0,27.0
04/22/2015,5.0,16.0,387.0,141.0,20.0
04/22/2016,7.0,20.0,393.0,170.0,20.0
04/22/2017,7.0,16.0,439.0,214.0,4.0
04/23/2015,3.0,20.0,356.0,146.0,10.0
04/23/2016,11.0,19.0,353.0,195.0,4.0
04/23/2017,3.0,15.0,344.0,194.0,7.0
04/24/2015,5.0,10.0,382.0,128.0,18.0
04/24/2016,6.0,24.0,364.0,190.0,11.0
04/24/2017,8.0,23.0,419.0,170.0,23.0
04/25/2015,3.0,13.0,367.0,156.0,8.0
04/25/2016,4.0,13.0,378.0,171.0,17.0
04/25/2017,6.0,26.0,397.0,166.0,22.0
04/26/2015,11.0,21.0,351.0,159.0,6.0
04/26/2016,5.0,24.0,386.0,162.0,25.0
04/26/2017,7.0,22.0,401.0,163.0,9.0
04/27/2015,,11.0,375.0,142.0,7.0
04/27/2016,5.0,27.0,368.0,167.0,17.0
04/27/2017,2.0,21.0,425.0,160.0,22.0
04/28/2015,3.0,27.0,365.0,150.0,20.0
04/28/2016,6.0,19.0,388.0,125.0,18.0
04/28/2017,5.0,14.0,449.0,176.0,24.0
04/29/2015,5.0,14.0,348.0,169.0,12.0
04/29/2016,9.0,18.0,386.0,161.0,23.0
04/29/2017,12.0,20.0,404.0,205.0,11.0
04/30/2015,8.0,17.0,348.0,175.0,20.0
04/30/2016,10.0,27.0,398.0,192.0,5.0
04/30/2017,6.0,15.0,391.0,234.0,9.0
05/01/2015,5.0,34.0,530.0,233.0,30.0
05/01/2016,6.0,36.0,485.0,257.0,14.0
05/01/2017,3.0,28.0,531.0,235.0,26.0
