Date Occurred,Consensual,Disturbance,Property,Violent,White Collar
05/02/2015,3.0,14.0,363.0,215.0,15.0
05/02/2016,7.0,12.0,415.0,176.0,20.0
05/02/2017,4.0,14.0,366.0,158.0,29.0
05/03/2015,7.0,11.0,334.0,181.0,3.0
05/03/2016,3.0,22.0,393.0,165.0,16.0
05/03/2017,8.0,15.0,416.0,188.0,18.0
05/04/2015,2.0,24.0,343.0,148.0,18.0
05/04/2016,2.0,13.0,349.0,157.0,16.0
05/04/2017,4.0,19.0,371.0,173.0,9.0
05/05/2015,4.0,17.0,385.0,136.0,20.0
05/05/2016,1.0,27.0,392.0,183.0,20.0
05/05/2017,8.0,20.0,475.0,204.0,18.0
05/06/2015,7.0,16.0,330.0,140.0,15.0
05/06/2016,6.0,29.0,413.0,139.0,24.0
05/06/2017,3.0,13.0,408.0,170.0,10.0
05/07/2015,9.0,14.0,379.0,115.0,10.0
05/07/2016,7.0,27.0,383.0,162.0,11.0
05/07/2017,3.0,17.0,350.0,140.0,2.0
05/08/2015,4.0,27.0,361.0,135.0,19.0
05/08/2016,5.0,25.0,355.0,185.0,16.0
05/08/2017,6.0,15.0,410.0,154.0,23.0
05/09/2015,5.0,16.0,338.0,178.0,7.0
05/09/2016,5.0,17.0,332.0,149.0,20.0
05/09/2017,9.0,14.0,402.0,129.0,15.0
05/10/2015,10.0,18.0,318.0,168.0,11.0
05/10/2016,2.0,21.0,378.0,136.0,17.0
05/10/2017,1.0,21.0,410.0,149.0,18.0
05/11/2015,2.0,19.0,390.0,151.0,21.0
05/11/2016,8.0,16.0,363.0,154.0,19.0
05/11/2017,4.0,24.0,402.0,172.0,12.0
05/12/2015,4.0,25.0,376.0,156.0,10.0
05/12/2016,6.0,16.0,406.0,145.0,20.0
05/12/2017,3.0,20.0,410.0,186.0,24.0
05/13/2015,2.0,22.0,345.0,151.0,7.0
05/13/2016,5.0,14.0,414.0,173.0,17.0
05/13/2017,3.0,17.0,381.0,171.0,13.0
05/14/2015,3.0,21.0,361.0,135.0,13.0
05/14/2016,3.0,14.0,403.0,192.0,8.0
05/14/2017,1.0,21.0,336.0,166.0,4.0
05/15/2015,9.0,21.0,431.0,198.0,24.0
05/15/2016,2.0,23.0,360.0,209.0,13.0
05/15/2017,3.0,39.0,407.0,138.0,28.0
05/16/2015,2.0,22.0,337.0,180.0,10.0
05/16/2016,3.0,20.0,425.0,160.0,16.0
05/16/2017,7.0,25.0,374.0,157.0,17.0
05/17/2015,5.0,12.0,307.0,182.0,9.0
05/17/2016,3.0,14.0,389.0,153.0,18.0
05/17/2017,5.0,25.0,361.0,179.0,12.0
05/18/2015,1.0,11.0,370.0,158.0,13.0
05/18/2016,4.0,25.0,382.0,169.0,17.0
05/18/2017,3.0,15.0,385.0,178.0,16.0
05/19/2015,5.0,14.0,405.0,157.0,19.0
05/19/2016,6.0,17.0,404.0,156.0,24.0
05/19/2017,4.0,24.0,438.0,186.0,21.0
05/20/2015,5.0,12.0,394.0,160.0,20.0
05/20/2016,1.0,18.0,434.0,191.0,20.0
05/20/2017,4.0,17.0,419.0,207.0,11.0
05/21/2015,5.0,21.0,403.0,150.0,23.0
05/21/2016,8.0,23.0,367.0,185.0,10.0
05/21/2017,2.0,20.0,344.0,206.0,11.0
05/22/2015,12.0,23.0,394.0,139.0,18.0
05/22/2016,6.0,20.0,381.0,183.0,10.0
05/22/2017,4.0,18.0,407.0,178.0,14.0
05/23/2015,6.0,20.0,345.0,124.0,12.0
05/23/2016,10.0,17.0,396.0,170.0,16.0
05/23/2017,2.0,27.0,376.0,177.0,14.0
05/24/2015,9.0,19.0,353.0,186.0,9.0
05/24/2016,8.0,30.0,418.0,160.0,16.0
05/24/2017,9.0,16.0,399.0,197.0,17.0
05/25/2015,5.0,16.0,333.0,169.0,11.0
05/25/2016,4.0,28.0,425.0,142.0,19.0
05/25/2017,7.0,18.0,358.0,187.0,17.0
05/26/2015,2.0,26.0,332.0,167.0,18.0
05/26/2016,4.0,18.0,401.0,171.0,17.0
05/26/2017,1.0,25.0,524.0,241.0,14.0
05/27/2015,4.0,19.0,354.0,145.0,12.0
05/27/2016,8.0,12.0,434.0,173.0,26.0
05/27/2017,3.0,18.0,403.0,197.0,15.0
05/28/2015,1.0,18.0,377.0,144.0,17.0
05/28/2016,7.0,15.0,401.0,151.0,10.0
05/28/2017,3.0,25.0,330.0,192.0,11.0
05/29/2015,8.0,22.0,417.0,152.0,17.0
05/29/2016,12.0,18.0,379.0,204.0,16.0
05/29/2017,6.0,18.0,341.0,204.0,8.0
05/30/2015,8.0,17.0,386.0,195.0,13.0
05/30/2016,3.0,13.0,324.0,211.0,8.0
05/30/2017,7.0,19.0,392.0,157.0,25.0
05/31/2015,3.0,16.0,354.0,176.0,3.0
05/31/2016,6.0,6.0,376.0,163.0,24.0
05/31/2017,6.0,22.0,389.0,179.0,22.0
06/01/2015,5.0,39.0,542.0,236.0,37.0
06/01/2016,3.0,35.0,516.0,239.0,34.0
06/01/2017,9.0,25.0,505.0,234.0,37.0
06/02/2015,5.0,14.0,351.0,169.0,21.0
06/02/2016,4.0,19.0,406.0,156.0,25.0
06/02/2017,9.0,27.0,395.0,189.0,26.0
06/03/2015,5.0,17.0,335.0,143.0,22.0
06/03/2016,3.0,19.0,426.0,192.0,21.0
06/03/2017,1.0,25.0,368.0,211.0,18.0
06/04/2015,4.0,10.0,343.0,165.0,22.0
06/04/2016,6.0,11.0,348.0,189.0,7.0
06/04/2017,6.0,9.0,344.0,206.0,14.0
06/05/2015,7.0,17.0,375.0,164.0,18.0
06/05/2016,4.0,12.0,322.0,165.0,9.0
06/05/2017,2.0,20.0,420.0,164.0,25.0
06/06/2015,9.0,21.0,355.0,176.0,7.0
06/06/2016,7.0,22.0,394.0,169.0,18.0
06/06/2017,4.0,29.0,404.0,181.0,16.0
06/07/2015,2.0,7.0,283.0,206.0,6.0
06/07/2016,6.0,22.0,354.0,169.0,19.0
06/07/2017,9.0,22.0,401.0,172.0,22.0
06/08/2015,3.0,18.0,352.0,161.0,18.0
06/08/2016,2.0,24.0,404.0,173.0,19.0
06/08/2017,4.0,22.0,383.0,151.0,19.0
06/09/2015,4.0,14.0,371.0,138.0,18.0
06/09/2016,1.0,22.0,432.0,155.0,19.0
06/09/2017,7.0,15.0,429.0,159.0,21.0
06/10/2015,7.0,14.0,363.0,158.0,16.0
06/10/2016,4.0,22.0,422.0,177.0,25.0
06/10/2017,6.0,18.0,383.0,192.0,11.0
06/11/2015,8.0,23.0,412.0,156.0,16.0
06/11/2016,3.0,12.0,376.0,179.0,8.0
06/11/2017,7.0,20.0,349.0,179.0,15.0
06/12/2015,7.0,18.0,401.0,171.0,21.0
06/12/2016,5.0,18.0,367.0,216.0,5.0
06/12/2017,4.0,24.0,373.0,173.0,16.0
06/13/2015,5.0,18.0,346.0,161.0,12.0
06/13/2016,3.0,20.0,403.0,157.0,22.0
06/13/2017,3.0,21.0,337.0,163.0,20.0
06/14/2015,11.0,21.0,289.0,174.0,11.0
06/14/2016,6.0,16.0,385.0,156.0,19.0
06/14/2017,2.0,24.0,393.0,194.0,18.0
06/15/2015,4.0,24.0,436.0,170.0,16.0
06/15/2016,4.0,19.0,425.0,159.0,28.0
06/15/2017,8.0,23.0,399.0,201.0,24.0
06/16/2015,2.0,16.0,319.0,151.0,9.0
06/16/2016,5.0,16.0,398.0,171.0,24.0
06/16/2017,13.0,22.0,395.0,169.0,17.0
06/17/2015,2.0,18.0,375.0,160.0,19.0
06/17/2016,6.0,16.0,433.0,171.0,15.0
06/17/2017,3.0,19.0,392.0,190.0,11.0
06/18/2015,6.0,16.0,402.0,139.0,10.0
06/18/2016,1.0,20.0,387.0,194.0,17.0
06/18/2017,10.0,24.0,340.0,238.0,8.0
06/19/2015,7.0,18.0,381.0,177.0,9.0
06/19/2016,11.0,15.0,327.0,228.0,4.0
06/19/2017,3.0,16.0,359.0,159.0,22.0
06/20/2015,4.0,23.0,376.0,195.0,8.0
06/20/2016,6.0,30.0,418.0,188.0,20.0
06/20/2017,7.0,20.0,405.0,192.0,22.0
06/21/2015,7.0,23.0,298.0,204.0,11.0
06/21/2016,11.0,13.0,409.0,173.0,18.0
06/21/2017,5.0,24.0,355.0,167.0,22.0
06/22/2015,1.0,20.0,337.0,183.0,24.0
06/22/2016,3.0,22.0,414.0,164.0,24.0
06/22/2017,7.0,14.0,387.0,190.0,16.0
06/23/2015,5.0,24.0,354.0,155.0,13.0
06/23/2016,4.0,23.0,418.0,169.0,24.0
06/23/2017,5.0,25.0,442.0,195.0,21.0
06/24/2015,4.0,20.0,364.0,153.0,19.0
06/24/2016,4.0,14.0,374.0,198.0,14.0
06/24/2017,4.0,8.0,419.0,211.0,11.0
06/25/2015,6.0,16.0,332.0,155.0,19.0
06/25/2016,3.0,19.0,421.0,193.0,17.0
06/25/2017,2.0,15.0,378.0,231.0,11.0
06/26/2015,6.0,20.0,433.0,179.0,11.0
06/26/2016,6.0,20.0,402.0,213.0,8.0
06/26/2017,4.0,28.0,406.0,171.0,20.0
06/27/2015,3.0,21.0,370.0,190.0,12.0
06/27/2016,2.0,17.0,423.0,221.0,16.0
06/27/2017,7.0,10.0,394.0,178.0,18.0
06/28/2015,3.0,14.0,330.0,211.0,4.0
06/28/2016,3.0,18.0,409.0,175.0,24.0
06/28/2017,10.0,24.0,361.0,169.0,24.0
06/29/2015,7.0,25.0,385.0,164.0,12.0
06/29/2016,6.0,17.0,336.0,191.0,26.0
06/29/2017,3.0,14.0,366.0,200.0,11.0
06/30/2015,5.0,16.0,366.0,156.0,10.0
06/30/2016,3.0,19.0,423.0,143.0,29.0
06/30/2017,4.0,20.0,478.0,173.0,20.0
07/01/2015,8.0,23.0,529.0,212.0,20.0
07/01/2016,10.0,23.0,550.0,216.0,31.0
07/01/2017,8.0,20.0,460.0,245.0,23.0
07/02/2015,1.0,14.0,340.0,169.0,12.0
07/02/2016,2.0,25.0,380.0,188.0,14.0
07/02/2017,6.0,11.0,390.0,178.0,10.0
07/03/2015,4.0,22.0,408.0,175.0,22.0
07/03/2016,9.0,18.0,373.0,185.0,8.0
07/03/2017,4.0,26.0,400.0,186.0,21.0
07/04/2015,4.0,19.0,334.0,229.0,8.0
07/04/2016,6.0,17.0,373.0,233.0,8.0
07/04/2017,4.0,25.0,380.0,246.0,10.0
07/05/2015,3.0,22.0,330.0,176.0,11.0
07/05/2016,1.0,19.0,412.0,197.0,19.0
07/05/2017,6.0,16.0,386.0,179.0,20.0
07/06/2015,2.0,17.0,400.0,160.0,18.0
07/06/2016,3.0,22.0,406.0,180.0,22.0
07/06/2017,13.0,17.0,360.0,176.0,20.0
07/07/2015,3.0,13.0,355.0,143.0,14.0
07/07/2016,4.0,25.0,359.0,139.0,19.0
07/07/2017,6.0,13.0,425.0,197.0,23.0
07/08/2015,5.0,17.0,381.0,159.0,20.0
07/08/2016,9.0,21.0,427.0,166.0,25.0
07/08/2017,2.0,21.0,374.0,208.0,14.0
07/09/2015,6.0,20.0,369.0,146.0,11.0
07/09/2016,1.0,19.0,329.0,163.0,25.0
07/09/2017,6.0,16.0,326.0,232.0,15.0
07/10/2015,4.0,16.0,352.0,167.0,23.0
07/10/2016,7.0,23.0,352.0,223.0,18.0
07/10/2017,3.0,21.0,378.0,191.0,21.0
07/11/2015,5.0,13.0,327.0,193.0,11.0
07/11/2016,7.0,17.0,414.0,135.0,26.0
07/11/2017,3.0,17.0,386.0,177.0,28.0
07/12/2015,8.0,22.0,323.0,166.0,8.0
07/12/2016,5.0,19.0,351.0,129.0,17.0
07/12/2017,4.0,25.0,373.0,176.0,24.0
07/13/2015,4.0,15.0,410.0,151.0,16.0
07/13/2016,7.0,21.0,408.0,136.0,18.0
07/13/2017,7.0,30.0,419.0,177.0,22.0
07/14/2015,6.0,14.0,356.0,150.0,19.0
07/14/2016,8.0,16.0,429.0,136.0,20.0
07/14/2017,,23.0,425.0,197.0,21.0
07/15/2015,6.0,19.0,443.0,176.0,18.0
07/15/2016,8.0,12.0,446.0,163.0,26.0
07/15/2017,6.0,18.0,440.0,207.0,13.0
07/16/2015,6.0,20.0,332.0,135.0,19.0
07/16/2016,5.0,15.0,424.0,187.0,7.0
07/16/2017,5.0,20.0,380.0,229.0,11.0
07/17/2015,6.0,22.0,389.0,179.0,15.0
07/17/2016,4.0,11.0,352.0,180.0,8.0
07/17/2017,7.0,21.0,384.0,190.0,15.0
07/18/2015,5.0,13.0,328.0,167.0,10.0
07/18/2016,9.0,18.0,376.0,175.0,16.0
07/18/2017,7.0,18.0,417.0,197.0,19.0
07/19/2015,6.0,18.0,348.0,215.0,4.0
07/19/2016,7.0,11.0,412.0,152.0,14.0
07/19/2017,7.0,24.0,412.0,203.0,11.0
07/20/2015,2.0,28.0,418.0,174.0,18.0
07/20/2016,7.0,17.0,441.0,180.0,20.0
07/20/2017,10.0,21.0,437.0,184.0,8.0
07/21/2015,5.0,25.0,387.0,167.0,21.0
07/21/2016,3.0,11.0,404.0,162.0,17.0
07/21/2017,8.0,25.0,450.0,215.0,20.0
07/22/2015,3.0,24.0,358.0,177.0,24.0
07/22/2016,6.0,18.0,443.0,206.0,18.0
07/22/2017,5.0,16.0,439.0,193.0,20.0
07/23/2015,6.0,18.0,387.0,170.0,15.0
07/23/2016,2.0,19.0,387.0,194.0,9.0
07/23/2017,8.0,24.0,438.0,211.0,9.0
07/24/2015,5.0,26.0,383.0,160.0,12.0
07/24/2016,12.0,20.0,331.0,203.0,4.0
07/24/2017,2.0,22.0,398.0,178.0,17.0
07/25/2015,1.0,12.0,405.0,200.0,12.0
07/25/2016,7.0,21.0,381.0,176.0,22.0
07/25/2017,5.0,19.0,426.0,148.0,17.0
07/26/2015,6.0,13.0,363.0,224.0,8.0
07/26/2016,4.0,23.0,389.0,178.0,33.0
07/26/2017,9.0,18.0,397.0,178.0,16.0
07/27/2015,1.0,23.0,419.0,187.0,18.0
07/27/2016,10.0,17.0,396.0,156.0,17.0
07/27/2017,7.0,13.0,428.0,183.0,14.0
07/28/2015,1.0,22.0,422.0,157.0,10.0
07/28/2016,9.0,20.0,398.0,168.0,16.0
07/28/2017,7.0,16.0,414.0,185.0,21.0
07/29/2015,7.0,23.0,419.0,151.0,14.0
07/29/2016,7.0,19.0,403.0,192.0,22.0
07/29/2017,2.0,19.0,416.0,177.0,15.0
07/30/2015,8.0,18.0,392.0,175.0,16.0
07/30/2016,6.0,22.0,431.0,183.0,11.0
07/30/2017,5.0,16.0,348.0,234.0,17.0
07/31/2015,5.0,15.0,441.0,184.0,12.0
07/31/2016,9.0,20.0,378.0,180.0,8.0
07/31/2017,4.0,14.0,427.0,187.0,22.0
08/01/2015,3.0,36.0,525.0,274.0,25.0
08/01/2016,3.0,26.0,566.0,233.0,30.0
08/01/2017,4.0,29.0,498.0,199.0,26.0
08/02/2015,4.0,18.0,399.0,193.0,9.0
08/02/2016,6.0,19.0,408.0,162.0,18.0
08/02/2017,10.0,18.0,420.0,174.0,16.0
08/03/2015,9.0,21.0,422.0,158.0,18.0
08/03/2016,8.0,17.0,413.0,177.0,15.0
08/03/2017,8.0,19.0,391.0,197.0,25.0
08/04/2015,2.0,17.0,386.0,144.0,20.0
08/04/2016,5.0,21.0,395.0,156.0,24.0
08/04/2017,5.0,14.0,422.0,173.0,7.0
08/05/2015,7.0,13.0,404.0,174.0,21.0
08/05/2016,5.0,17.0,432.0,169.0,21.0
08/05/2017,10.0,24.0,394.0,224.0,8.0
08/06/2015,3.0,22.0,371.0,178.0,22.0
08/06/2016,6.0,7.0,396.0,171.0,12.0
08/06/2017,4.0,24.0,357.0,203.0,7.0
08/07/2015,4.0,15.0,399.0,138.0,16.0
08/07/2016,5.0,17.0,358.0,187.0,14.0
08/07/2017,7.0,16.0,415.0,181.0,15.0
08/08/2015,3.0,15.0,342.0,187.0,10.0
08/08/2016,5.0,22.0,409.0,175.0,22.0
08/08/2017,2.0,20.0,363.0,166.0,9.0
08/09/2015,10.0,11.0,333.0,178.0,7.0
08/09/2016,9.0,11.0,391.0,134.0,23.0
08/09/2017,6.0,15.0,380.0,159.0,12.0
08/10/2015,3.0,25.0,382.0,152.0,18.0
08/10/2016,8.0,16.0,398.0,137.0,27.0
08/10/2017,9.0,29.0,387.0,173.0,21.0
08/11/2015,7.0,10.0,328.0,163.0,14.0
08/11/2016,7.0,18.0,396.0,166.0,15.0
08/11/2017,8.0,14.0,413.0,162.0,16.0
08/12/2015,6.0,22.0,381.0,161.0,16.0
08/12/2016,9.0,18.0,386.0,142.0,13.0
08/12/2017,6.0,16.0,410.0,200.0,3.0
08/13/2015,9.0,12.0,381.0,145.0,9.0
08/13/2016,1.0,27.0,413.0,179.0,6.0
08/13/2017,7.0,18.0,371.0,199.0,8.0
08/14/2015,4.0,14.0,419.0,133.0,18.0
08/14/2016,4.0,18.0,351.0,186.0,3.0
08/14/2017,7.0,13.0,407.0,175.0,20.0
08/15/2015,4.0,27.0,420.0,193.0,15.0
08/15/2016,9.0,17.0,421.0,199.0,28.0
08/15/2017,9.0,18.0,410.0,175.0,23.0
08/16/2015,8.0,18.0,374.0,185.0,7.0
08/16/2016,6.0,16.0,372.0,170.0,17.0
08/16/2017,4.0,10.0,404.0,169.0,15.0
08/17/2015,6.0,22.0,405.0,156.0,11.0
08/17/2016,2.0,19.0,415.0,163.0,19.0
08/17/2017,4.0,22.0,401.0,168.0,23.0
08/18/2015,5.0,21.0,328.0,171.0,24.0
08/18/2016,5.0,19.0,387.0,156.0,8.0
08/18/2017,3.0,14.0,434.0,183.0,16.0
08/19/2015,6.0,23.0,387.0,175.0,20.0
08/19/2016,5.0,28.0,416.0,172.0,20.0
08/19/2017,4.0,14.0,423.0,173.0,10.0
08/20/2015,5.0,17.0,402.0,195.0,18.0
08/20/2016,2.0,24.0,447.0,207.0,18.0
08/20/2017,9.0,15.0,351.0,221.0,8.0
08/21/2015,5.0,28.0,414.0,174.0,14.0
08/21/2016,1.0,20.0,345.0,216.0,13.0
08/21/2017,4.0,23.0,409.0,173.0,18.0
08/22/2015,9.0,13.0,397.0,210.0,10.0
08/22/2016,3.0,14.0,425.0,178.0,15.0
08/22/2017,7.0,17.0,396.0,179.0,12.0
08/23/2015,3.0,14.0,358.0,203.0,7.0
08/23/2016,5.0,24.0,389.0,158.0,22.0
08/23/2017,8.0,19.0,399.0,168.0,16.0
08/24/2015,1.0,21.0,423.0,170.0,18.0
08/24/2016,4.0,20.0,409.0,184.0,13.0
08/24/2017,8.0,14.0,392.0,170.0,15.0
08/25/2015,,14.0,411.0,175.0,16.0
08/25/2016,5.0,21.0,387.0,154.0,19.0
08/25/2017,6.0,26.0,443.0,167.0,23.0
08/26/2015,1.0,18.0,394.0,156.0,15.0
08/26/2016,5.0,27.0,464.0,178.0,22.0
08/26/2017,1.0,22.0,416.0,229.0,4.0
08/27/2015,3.0,16.0,359.0,170.0,15.0
08/27/2016,6.0,13.0,398.0,180.0,12.0
08/27/2017,7.0,17.0,372.0,227.0,9.0
08/28/2015,5.0,17.0,399.0,186.0,23.0
08/28/2016,3.0,12.0,340.0,218.0,14.0
08/28/2017,4.0,29.0,414.0,187.0,18.0
08/29/2015,9.0,17.0,377.0,219.0,12.0
08/29/2016,7.0,15.0,397.0,146.0,21.0
08/29/2017,8.0,19.0,379.0,183.0,18.0
08/30/2015,13.0,13.0,315.0,205.0,9.0
08/30/2016,4.0,15.0,408.0,152.0,14.0
08/30/2017,9.0,21.0,393.0,154.0,25.0
08/31/2015,6.0,20.0,388.0,153.0,27.0
08/31/2016,8.0,30.0,375.0,142.0,21.0
